Program Name,Program Owner,Budget,MP Target,Other Metrics,Region,Lifecycle Stage,APM1,APM2,Industry,Segment,Persona,Customer Message
Brand - Dreamforce in APAC,Stuart Frank,"$1,310,000.00",,,,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Brand - Leading Through Change,,,,,,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Marketing - Datorama,Deidre O'Brien,,,,APAC,Awareness,,,Aerospace & Defense,EBU,Admin/Ops,
ABM - Helping IAG Get to the Future Faster (ANZ),Stephanie McCredie,"$25,000.00","$500,000.00","$3.9M Q3 deal close (MMP), 200+ employees enabled, increasing deal size, 5 star Marketing engagement score",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Salesforce can give IAG the complete customer platform to become the adaptive and resilient insurance company of the future, by offering IAG a complete customer model – a true, transparent view of every customer across all touchpoints with the tools to interact with them personally and instantly."
ABM - Personalised Journeys for Strategic Customers (1:Few ABM) (ANZ),Stephanie McCredie,"$235,375.00","$3,000,000.00","$40M+ MP/ MMP, 70% Strategic accounts to have 4-5 marketing engagement score (= 26 accounts),10%+ SF Live attendance from ABM accounts, 50% Strategic Account SICs, 50% Strategic Accounts attend Exec Roundtables",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"5 Clusters concentrated on 5 Specific Themes, with 5 different Value Propositions detailed on this slide. The 5 Cluster Themes are: Accelerated Value, IT Transformation, Business Transformation, Business Growth and Customer experience"
Brand - #1 CRM Digital (ANZ),,,,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Brand - Leading Through Change (ANZ),,,,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Brand - Salesforce Live: ANZ,Stuart Frank,"$372,000.00","$20,000,000.00",,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Brand - Values-Led Awareness (ANZ),Renata Bertram,"$208,000.00",$0.00,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,The business of business is to make the world a better place.
Brand - Work.com (ANZ),Anastasia Chernyshova,"$20,000.00","$1,000,000.00",2000 enabled and 200+ partners enabled,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Provides expert advice, content, and technology to help businesses reopen their workplaces and communities safely"
CMRCL - New Logos (ANZ),Vincent Cotte,"$236,000.00","$1,525,000.00",,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Cross-Cloud - Evergreen (ANZ),,,,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
Cross-Cloud - Salesforce Customer 360 (ANZ),Andrew Ward,$0.00,$0.00,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
ESMB - Evergreen (ANZ),,,,,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,
ESMB - Reimagining Your Path to Growth (ANZ),Cat Prestipino,"$353,081.00","$3,000,000.00","Drive $23M MP, drive $4M MA, 11x Net New Logo ESMB Customer Stories",ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Salesforce helps you find, win and keep customers in the new normal and beyond"
ESMB - Reimagining Your Path to Growth (Essentials) (ANZ),Cat Prestipino,"$25,000.00","$1,000,000.00",,ANZ,Awareness,Sales,Sales 2,Aerospace & Defense,EBU,Admin/Ops,"Salesforce helps you find, win and keep customers in the new normal and beyond - even as a very small business"
